Title	Author	Star Rating	Review Count	Weeks on List
The Perfect Mother	Aimee Molloy	3.8	N/A	1
Before We Were Yours	Lisa Wingate	4.7	10,654	48
The Death of Mrs. Westaway	Ruth Ware	4.1	N/A	2
Matchmaking for Beginners	Maddie Dawson	4.6	3,649	7
Just Me and My Dad	Mercer Mayer	4.8	1,179	1
The Great Alone	Kristin Hannah	4.6	7,163	20
Less	Andrew Sean Greer	3.7	1,676	4
Beneath a Scarlet Sky	Mark Sullivan	4.7	26,771	49
Tom Clancy Line of Sight	Mike Maden	3.7	N/A	1
The Fallen	David Baldacci	4.6	2,668	10
The President Is Missing	Bill Clinton & James Patterson	4.3	6,665	4
The Outsider	Stephen King	4.4	4,188	6
Something in the Water	Catherine Steadman	3.8	1,262	3
The Perfect Couple	Elin Hilderbrand	4.2	1,036	1
The Fallen	David Baldacci	4.6	2,668	11
Year One	Nora Roberts	4.5	3,473	5
The Handmaid's Tale	Margaret Atwood	4.1	15,354	40
My Sister's Grave	Robert Dugoni	4.4	15,581	1
Circe	Madeline Miller	4.6	1,831	1
Now You See Her	James Patterson, Michael Ledwidge	4.4	N/A	1
Little Fires Everywhere	Celeste Ng	4.3	4,579	36
The Tuscan Child	Rhys Bowen	4.3	4,228	13
The Thinnest Air	Minka Kent	4.1	2,396	4
Flood Tide	Clive Cussler	4.6	N/A	1
Harry Potter and the Sorcerer's Stone	J.K. Rowling	4.7	15,382	35
Shelter in Place	Nora Roberts	4.7	1,746	4
A Merciful Silence	Kendra Elliot	4.8	N/A	1
Before We Were Yours	Lisa Wingate	4.7	10,654	49
Gracie's Secret	Jill Childs	3.9	N/A	1
White Lace and Promises	Debbie Macomber	4.1	N/A	1
The Woman in the Window	A. J. Finn	4.3	6,179	12
The President Is Missing	Bill Clinton & James Patterson	4.3	6,665	5
Something in the Water	Catherine Steadman	3.8	1,262	4
The Outsider	Stephen King	4.4	4,188	7
All We Ever Wanted	Emily Giffin	4.1	1,175	1
The Handmaid's Tale	Margaret Atwood	4.1	15,354	41
The Perfect Couple	Elin Hilderbrand	4.2	1,036	2
The Thinnest Air	Minka Kent	4.1	2,396	5
Gracie's Secret	Jill Childs	3.9	N/A	2
Little Fires Everywhere	Celeste Ng	4.3	4,579	37
The Tuscan Child	Rhys Bowen	4.3	4,228	14
Harry Potter and the Sorcerer's Stone	J.K. Rowling	4.7	15,382	36
A Steep Price	Robert Dugoni	4.7	1,314	1
The Hate U Give	Angie Thomas	4.8	3,596	3
Less	Andrew Sean Greer	3.7	1,676	5
When Life Gives You Lululemons	Lauren Weisberger	4.2	N/A	2
The Great Alone	Kristin Hannah	4.6	7,163	21
Before We Were Yours	Lisa Wingate	4.7	10,654	50
Takeoff	Joseph Reid	4.3	1,911	2
Children of Blood and Bone	Tomi Adeyemi	4.7	2,122	2
The President Is Missing	Bill Clinton & James Patterson	4.3	6,665	6
Something in the Water	Catherine Steadman	3.8	1,262	5
The Handmaid's Tale	Margaret Atwood	4.1	15,354	42
The Outsider	Stephen King	4.4	4,188	8
All We Ever Wanted	Emily Giffin	4.1	1,175	2
The Perfect Couple	Elin Hilderbrand	4.2	1,036	3
A Killer's Mind	Mike Omer	4.6	5,375	1
Spymaster	Brad Thor	4.6	N/A	1
Neverwhere	Neil Gaiman	4.5	2,560	3
Gracie's Secret	Jill Childs	3.9	N/A	3
Sharp Objects	Gillian Flynn	4.2	7,811	1
Whisper Me This	Kerry Anne King	4.5	2,845	1
Harry Potter and the Sorcerer's Stone	J.K. Rowling	4.7	15,382	37
The King Tides	James Swain	4.3	1,896	1
Little Fires Everywhere	Celeste Ng	4.3	4,579	38
